89 Tests for NRx,,,,17 Panels,,,,
"Cholesterol, Total",,Monocytes,,CBC (Includes Diff/PLT),,,,
HDL Cholesterol,,Calcium,,Comprehensive Metabolic Panel,,,,
Triglycerides,,"Iron, Total",,Hemoglobin A1c,,,,
LDL Cholesterol,,Iron Binding Capacity,,hs-CRP,,,,
Non HDL Cholesterol,,% Saturation,,Iron And Total Iron Binding Capacity,,,,
CHOL/HDLC Ratio,,Magnesium,,"Lipid Panel, Standard",,,,
C - Reactive Protein HS,,Carbon Dioxide (CO2),,Magnesium,,,,
Glucose,,Sodium,,Sex Hormone Binding Globulin,,,,
Hemoglobin A1c,,Potassium,,"Testosterone, Free, Bio And Total, Ms",,,,
Urine - Glucose,,Chloride,,TSH,,,,
Urine - Ketones,,Vitamin B12,,Uric Acid,,,,
Uric Acid,,Vitamin D,,"Urinalysis, Complete",,,,
"Protein, Total",,AST,,Vitamin B12,,,,
Albumin,,ALT,,"Vitamin D, 25-OH, Total, LA",,,,
Globulin,,Bilirubin,,Estrogen,,,,
Albumin/Globulin Ratio,,"Bilirubin, Total",,PSA,,,,
Alkaline Phosphatase,,eGFR,,Ferritin,,,,
"Testosterone, Total, Ms",,Creatinine,,,,,,
"Testosterone, Free",,Urea Nitrogen (BUN),,,,,,
"Testosterone, Bioavailable",,BUN/Creatinine Ratio,,,,,,
"PSA, Total",,Color,,,,,,
"Estrogens, Total",,Appearance,,,,,,
Sex Hormone Binding Globulin,,Specific Gravity,,,,,,
TSH,,Ph,,,,,,
Hemoglobin,,Reducing Substances,,,,,,
Hematocrit,,Occult Blood,,,,,,
White Blood Cell Count,,Protein,,Fibrinogen Activity,,,,
Red Blood Cell Count,,Nitrite,,Zinc,,,,
MCV,,Leukocyte Esterase,,Gamma-Glutamyl Transerase (GGT),,,,
MCH,,WBC - Urinalysis,,Insulin,,,,
MCHC,,RBC - Urinalysis,,Apolipoprotein B,,,,
RDW,,Squamous Epithelial Cells,,,,,,
Platelet Count,,Bacteria,,,,,,
MPV,,Calcium Oxalate Crystals,,,,,,
Absolute Neutrophils,,Crystals,,,,,,
Absolute Lymphocytes,,Hyaline Cast,,,,,,
Absolute Eosinophils,,Casts,,,,,,
Absolute Basophils,,Amorphous Sediment,,,,,,
Absolute Monocytes,,Transitional Epithelial Cells,,,,,,
Absolute Nucleated RBC,,Renal Epithelial Cells,,,,,,
Neutrophils,,Triple Phosphate Crystals,,,,,,
Lymphocytes,,Granular Cast,,,,,,
Eosinophils,,Yeast,,,,,,
Basophils,,Uric Acid Crystals,,,,,,
,,Ferritin,,,,,,
,,,,,,,,
,,,,,,,,
,,,,89,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Deep Dives,,,,,,,,
Panel Name,,Result Name,,,,,,
Thyroid,,"T4, Free (Direct)",,,,,,
Thyroid,,TSH,,,,,,
Thyroid,,Thyroglobulin Antibody,,,,,,
Thyroid,,"Triiodothyronine (T3), Free",,,,,,
Thyroid,,Thyroid Peroxidase (TPO) Antibody,,,,,,
Thyroid,,"Reverse T3, Serum",,6,,,,
,,,,,,,,
Female Hormone,,Estradiol,,,,,,
Female Hormone,,Dehydroepiandrosterone (DHEA),,,,,,
Female Hormone,,"Estrogens, Total",,,,,,
Female Hormone,,Free Androgen Index,,,,,,
Female Hormone,,"Testosterone, Total, Ms",,,,,,
Female Hormone,,Sex Hormone Binding Globulin,,,,,,
Female Hormone,,Luteinizing Hormone (LH),,,,,,
Female Hormone,,Progesterone,,,,,,
Female Hormone,,FSH,,,,,,
Female Hormone,,Prolactin,,,,,,
,,,,,,,,
Male Hormone,,Dehydroepiandrosterone (DHEA),,,,,,
Male Hormone,,"Estrogens, Total",,,,,,
Male Hormone,,Free Androgen Index,,,,,,
Male Hormone,,"Testosterone, Total, Ms",,,,,,
Male Hormone,,Sex Hormone Binding Globulin,,,,,,
Male Hormone,,Luteinizing Hormone (LH),,,,,,
Male Hormone,,Progesterone,,,,,,
Male Hormone,,FSH,,,,,,
Male Hormone,,Prolactin,,9,,,,
,,,,,,,,
D-Dimer,,D-Dimer,,,,,,
,,,,,,,,
Troponin T,,Troponin T,,,,,,
,,,,,,,,
Insulin,,Insulin,,,,,,
,,,,,,,,
Cortisol - AM,,Cortisol - AM,,,,,,
,,,,,,,,
Homocysteine,,Homocysteine,,,,,,
,,,,,,,,
GlycA,,GlycA,,,,,,
,,,,,,,,
Carbohydrate Antigen (CA) 19-9,,Carbohydrate Antigen (CA) 19-9,,7,,,,
,,,,,,,,
,,,,111,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
OPTIMAL DNA,,,,,,,,
Your report will cover the following:,,,,,,,,
,,,,,Genes Tested,,,
MTHFR and other methylation SNPs,,,,,AHCY-01,SUOX,LRRK2,GC
All of Gary Brecka's Genes & much more,,,,,APOE,TCN1,MAOA,INTERGENIC
Stress and how your body responds (fight-or-flight),,,,,BCMO1,TCN2,MAOB,CCR3
Antioxidant production and recycling in the body (Glutathione),,,,,CBS,TNF,MAT1A,HLA-DQ2.5
"Detoxification process for hormones, chemicals, and heavy metals",,,,,CBS 360,VDR TAQ,MMAB,IL21
Histamine Sensitivity,,,,,CBS 699,VDR-BSM,MTHFD1,MYO9B
Response to inflammation,,,,,COMT,VDR-FOK,MTHFR A1298C,MCM6
Genetic expression and the repair of your DNA,,,,,CYP1B1,FABP2 Ala54Thr,MTHFR C677T,FTO
Neurotransmitters and the balancing of brain chemistry,,,,,CYP2E1,KCTD10,MTHFS,MC4R
Energy and overall production,,,,,DAO (AOC1),PLIN,MTR,ANKK1/DRD2
Oxidative Stress (Advanced),,,,,DAOA/DAAO,LIPC,MTRR,LEPR
Fat & Carbohydrate Metabolism,,,,,DHFR,FADS1(MYRF),MUT,NMB
Eating Behaviors,,,,,Factor 5,APOA2,NOS3,TAS2R38
Vitamin Deficiencies,,,,,FADS1,ADIPOQ,NQO1,ADRB3
Food Sensitivities (Genetic Tendency),,,,,FADS2,PPARG,PEMT,ITGB2
Blood Sugar & Cardiovascular Markers,,,,,FOLR2,FUT2,PON1,BCAA
Obesity & Weight Loss Markers,,,,,FUT2,MTHFR C677T,Prothrombin (F2),ACSL5
Strength potential,,,,,G6PD,MTHFR A1298C,SHMT1,ADRA2A
Endurance vs. sprinter,,,,,GPX1,BCMO1,SLC19A1,IRS1
VO2 Max,,,,,GSTP1,MTHFR,SOD1,ADRB2
Cardiovascular health,,,,,HFE,NBPF3,SOD2,FADS1
Fat loss in response to exercise,,,,,HNMT,SLC23A1,SOD3,LPL
