Definitions,,,"Fruit & Veggie Blend 
",15 g Serving,,Complete Nutrition ,24 g,,"Metal Clarity Blend 
",2 Caps,,"Immune Complex
 Blend",1 Cap,,"Proprietary Testosterone 
Blend",3 Caps,,Calm Blend,3 caps,,"Opti-Cleanse 
Blend","
2 Caps",,"Proprietary FST 
Blend",3 Caps,,"Proprietary Chemzyme 
Blend",2 caps,,VRL Blend,2 caps,,"Glandular Enzyme 
Blend ","Per 250 mg
(Equal Parts)",,"Fulvic Ionic 
Complex",Average PPM,,Opti-Blend ,Per 1 Gram,,"Cultured Yeast 
Blend",Per 1 Gram,,"Stabilized Fatty 
Acid Blend",per 2 caps
mcg RAE,Retinol Activity Equivalents: FDA regulation for measuring Vitamin A ,,Banana ,6.15 g,,Brown Rice protein,12.53 g,,L-Taurine ,500 mg,,Anise Seed,7.5 mg,,Tribulus Fruit Extract,350 mg,,Chamomile Flower,60 mg,,Psyllium Husk,400 mg,,Garcinia Cambogia Extract,15 mg,,Lactic Acid Bacteria,300 mg,,Lycopene 5%,1 mg,,Bovine Spleen,50 mg,,Aluminum,"10,700",,"Amylase 
(aspergillus oryzae)",532.24 mg,,Vegetarian Yeast,333 mg,,GLA from Borage Oil,36 mg
mcg DFE,"Daily Folate Equivalents: FDA regulation for measuring Vitamin B9 (Folate) 
(1 mcg folic acid = 1.7 mcg DFE)",,Pineapple,3.2 g,,Banana,2.16 g,,"Green Tea Extract 
50% Caffeine",200 mg,,Elderberry Extract,7.5 mg,,L-Arginine HCL,175 mg,,Passion Flower,60 mg,,Licorice Root DGL Extract,200 mg,,Cinnamon Verum,15 mg,,"Peptidase 
(Aspergillus Oryzae)",80 mg,,"Polyphenols, 80% 
Catechins, 
45% EGCG",300 mg,,Bovine adrenal,50 mg,,Antimony,0.226,,"Protease 
(aspergillus oryzae)",414.53 mg,,"Pea Protein
 Isolate",333 mg,,ALA from Flaxseed Oil,90 mg
IU ,International Unit: Vitamin D is the only FDA approved Vitamin to list IUs but must follow weight in mcg,,Strawberry ,2.78 g,,Apple Fiber,1.82 g,,Ginkgo Biloba Leaf,50 mg,,Green Tea Extract,7.5 mg,,Longjack Root Extract,100 mg,,Lemon Balm Extract,60 mg,,Ginkgo Biloba Leaf,100 mg,,Raspberry Ketones,15 mg,,"Lactase (synthetic Beta Galactosidase)
and (Aspergillus Oryzae)","40 mg
",,"Brocolli Extract 
5% Glucoraphin",4 mg,,Bovine Thymus,50 mg,,Arsenic,4.46,,"Acid Stable Protease 
(aspergillus oryzae)",10.64 mg,,"Fruit and Veggie 
Blend (Summit)",233 mg,,DHA from Algae Oil,40 mg
Blends ,"Blends will be expressed by composite weight in the Ingredient List 
and broken down here in the companion sheet. If the blend is not broken down by the vendors CoA or Spec 
sheet then it will just be listed as its composite weight.",,Silica,1.07 g,,Carrot Fiber,1.62 g,,DMAE L-Bitartrate,25 mg,,Maitake Mushroom,7.5 mg,,Pygeum Bark Extract,45 mg,,Hops Extract,60 mg,,Apple Pectin,50 mg,,Rhodiola Crenulata,15 mg,,Turmeric Root,120 mg,,,,,Bovine Pituitary,50 mg,,Barium,6.26,,"Serratia Petidase 
(Serratia marcescens)",5.32 mg,,"Proprietary 
Probiotic Blend",84 mg,,,
<2% Daily Value,"If a B(2) dietary ingredient (meaning it has a daily value) is present at less than 2% of the Daily 
value it does not need to be listed in the supplement facts panel and can be listed in other ingredients.",,Cauliflower,750 mg,,Amaranth,870 mg,,"Rhodiola Crenulata 
Extract",25 mg,,Olive Leaf Extract,7.5 mg,,Saw Palmetto Berry,15 mg,,,,,Grapefruit Pectin,50 mg,,Konjac Root ,15 mg,,,,,,,,Enzyme Blend,50 mg,,Beryllium,4.48,,"Lipase 
(Rhizopus oryzae)",5.32 mg,,Opti-Blend,17 mg,,,
X,An Ingredient is Present but is not listed by input amount on the Spec Sheet/CoA.,,Maltodextrin,200 mg,,Millet,870 mg,,"Choline Bitartrate 
(41% Choline)",20 mg,,Oregano Leaf,7.5 mg,,,,,,,,Chlorella Algae,50 mg,,,,,,,,,,,,,,Bismuth,<0.010,,"Invertase 
(Sacchoramyces cerevisiae)",5.32 mg,,,,,,
Red Highlight,Has Allergen,,Stevia Extract,120 mg,,Quinoa,860 mg,,L-Tyrosine,20 mg,,Shiitake Mushroom,7.5 mg,,,,,,,,,,,,,,,,,,,,,,,Boron,242,,Cellulase (Aspergillus niger),5.32 mg,,,,,,
Note,"These ingredients reflect directly what the CoA/ Spec sheet lists. Some of our labels have discrepancies that do not
match the ingredient list in wieght or the ingredient's source.",,Green Coffee Bean Extract,74 mg,,Buckwheat,840 mg,,Yerba Mate Leaf,20 mg,,Turmeric Root,7.5 mg,,,,,,,,,,,,,,,,,,,,,,,Bromine,0.194,,Lactase (Aspergillus oryzae),5.32 mg,,,,,,
,,,Green Tea Extract,66 mg,,Flaxseed,390 mg,,Acetyl-L-Carnitine HCL,10 mg,,Licorice DGL,3.75 mg,,,,,,,,,,,,,,,,,,,,,,,Cadmium,0.122,,"Malt Diastase 
(Aspergillus oryzae)",5.32 mg,,,,,,
,,,Broccoli Sprout,48 mg,,Vanilla Flavor,280 mg,,Ginger Root,5 mg,,Lemon Balm Extract,1.5 mg,,,,,,,,,,,,,,,,,,,,,,,Calcium,"32,700",,Phytase (Aspergillus niger),5.32 mg,,,,,,
