AMOUNT BASED ON PRODUCT SERVING SIZE ,Acute (2),Adrenal (1),B Awake (2),B-12 (1 mL),BFF (3),Black Seed (4),Bone Plus Cal (6),Brain (4),Calm (3),Chemzyme (2),Chronic (1),CNP (24 g),"Complete 
Vanilla (50g)","Complete 
Chocolate (50g)",Control (2),Cort Adrena (2),Crea-Nitric (1),Creatine (5 g),DAK1K2 (2),Defense (1),Digestion (2),D-Ribose (5 g),EFA (2),FatSugarTrim (3),Female+B (2),Opti-Female (1),"Fiber GLP-1
 (3g)",Flora (3),"Fruit & Veggie
(15g)","Fulvic 
Mineral (1 oz)",GI (2),Glandular (2),Glutathione (1),Heart (2),Iodine (1),Immune (2),Iron (1),"L-Carnitine 
(3 g)","Lean Clean
B-Day Cake (22.5g)","Lean Clean
Lava Cake (22.5g)","Lightning 
Gummies (3)",Lipolean CLA  (4),Liver Kidney (2),Longevi-D (2),Lung (2),Magnesium (3),Methyl-B (2),Mito-Force (1),Muscle Rx (10),MagnaStem (2),NADH+DIM (1),Opti Nitric (2),Oxy-Burn (1),Para (1),P-5-P (1),Protect (2),"High CFU 
Probiotic (1)",Resveratrol (3),Shrooms (2),"Sleep 
Gummies (1)","Therapeutic 
Melatonin (4mL)",Opti-T (3),Thyroid (2),Ubiquinol (1),"Vitamin 
Mineral (3)",Vitamin D3 (1),Whole C (1), Zinc (1)
5-Hydroxytryptophan (Griffona Seed),,,,,,,,,75mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerola Cherry Extract,,,,,,,,,,,,,,,,75 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mg,,,,X,,,,,,,,,,,,,,,,,,,X,
Acerola Cherry Powder,20 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetyl L-Carnitine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenal Gland (from Bovine),,25 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algal Oil,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aloe Vera Leaf (naturally containing Copper, Zinc, Manganese)",,,,,,,,,,,,,,,,,,,,,50mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mg,,,,,,,,,,,,,,
Alpha Lipoic acid,,,,,,,,,,,,,,,100 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 mg,,,,,,,,,,,,,,,,,,,,
Amylase (Aspergillus Oryzae),,,,,,,,3.34 mg,,,,,,,10 mg,,,,,,50mg (4250 DU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhyrdrous Citric Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascorbyl Palmitate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Ashwaganda Extract,,,,,,,,,,,,,,,,130 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astragalus Root Powder,,,,,,,,,,,,,,,,,,,,18.75 mg,,,,,,,,,,,,,,,,80 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacopa Monnieri Extract,,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barberry (root),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 mg,,,,,,,,,,,,,,,,,,,,,,,,,
Barley Grass Juice (Hordeum vulgare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 mg,,,
Berberine HCl,,,,,,,,,,,,,,,250 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Glucan,,,,,,,,,,,,,,,,,,,,"3.75 mg 
(3 mg Beta Glucan)",,,,,,,,,,,,,,,,50 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaine HCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 mg,,,,,
Billberry Extract (Fruit),,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Cohosh Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mg,,,,,,,,,,,,,,,,,,,,,,,
Black Currant Fruit Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mg,
Black Seed Oil ,,,,,,2000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Walnut Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 mg,,,,,,,,,,,,,,
Bladderwrack Powder,,,,,,,,,,,,,,,500 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Gelatin (from Bovine),,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boron (as Boron Citrate),,,,,,,,2 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boron (as Bororganic glycine),,,,,,,,,,,,,,,,6 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 mg,,,,,,
Bovine Glandular Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 mg,,,,,
"Branch Chain Amino Acids (from Leucine, Isoleucine, Valine)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 mg,,,,,,,,,,,,,,,,,,,
Broccoli Extract ,,,,,,,,,,,,,,,,80 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromelain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 mg,,,,,,,,,,,,,,
Caffeine Anhydrous,,,,,90mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175 mg,,,,,,,,,,,,,,,
Calcium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78mg,82 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
